Months,"Type 1 
(Less than 4 hours)","Type 2 
(Less than 4 hours)","Type 3 
(Less than 4 hours)","Type 1 
(Greater than 4 hours)","Type 2 
(Greater than 4 hours)","Type 3 
(Greater than 4 hours)"
01/11/2014,938662,47983,473998,40547,142,452
01/12/2014,942092,40574,519482,78415,141,1297
01/01/2015,934919,45881,529416,64419,162,740
01/02/2015,887174,45114,482874,40883,96,523
01/03/2015,1028906,50480,566790,51630,203,828
01/04/2015,1004012,47820,579295,49959,254,824
01/05/2015,1027455,50696,580886,48041,424,771
01/06/2015,984184,48691,548844,45050,176,654
01/07/2015,1029494,49964,583690,38129,200,845
01/08/2015,965895,46025,556117,38721,95,524
01/09/2015,978139,46451,551604,48684,177,733
01/10/2015,1002942,48323,577591,55432,195,747
01/11/2015,947702,45963,539326,53167,138,804
01/12/2015,940191,42620,526779,65364,114,870
01/01/2016,936736,45982,531291,65485,57,597
01/02/2016,911323,45692,515903,75147,106,1078
01/03/2016,1055984,52302,589743,58151,252,948
01/04/2016,960769,45881,545483,56006,177,884
01/05/2016,1052472,50046,595347,54098,130,874
01/06/2016,1026985,47676,585413,53844,173,786
01/07/2016,1056980,49013,593235,48985,196,870
01/08/2016,1013001,46717,569423,48268,101,740
01/09/2016,989828,45523,533225,51823,106,677
01/10/2016,1012134,47183,539714,60783,130,668
01/11/2016,970494,45853,511012,61258,146,653
01/12/2016,977025,42171,546331,85755,125,1089
01/01/2017,933052,43667,508517,84444,124,834
01/02/2017,875025,43226,491378,84752,236,911
01/03/2017,974969,47870,559263,109309,316,1102
01/04/2017,954297,48012,552560,106350,312,1026
01/05/2017,1030871,48317,580821,55966,267,926
01/06/2017,1002579,48391,559819,49326,147,851
01/07/2017,1076148,49054,611779,57953,243,990
01/08/2017,992997,47034,573078,59952,181,826
01/09/2017,957114,46227,536164,66037,125,770
01/10/2017,988833,46533,553103,71137,110,934
01/11/2017,945215,44716,519465,62404,92,855
01/12/2017,962067,42304,537548,73914,83,863
01/01/2018,935813,45189,522099,73946,149,717
01/02/2018,878337,41977,506126,79249,136,905
01/03/2018,1045030,48944,604578,75303,170,1314
01/04/2018,994184,45696,587022,77620,122,1237
01/05/2018,1047794,47906,610091,89709,194,1260
01/06/2018,1035904,48295,596118,80285,278,1593
01/07/2018,1065970,48884,608985,84250,283,1348
01/08/2018,972986,46664,552413,77456,203,1156
01/09/2018,992741,45855,554756,86748,213,1373
01/10/2018,1000529,48077,562755,103781,158,1398
01/11/2018,959697,46121,548143,103921,255,1547
01/12/2018,927103,42145,584178,168459,160,2612
01/01/2019,855920,45160,533476,135495,158,1679
01/02/2019,828608,42662,511602,116626,190,1346
01/03/2019,979722,49816,609221,122524,274,2057
01/04/2019,954446,46201,588708,109841,372,2092
01/05/2019,1011278,48225,601894,95317,453,2034
01/06/2019,1016526,46922,578466,85494,230,2264
01/07/2019,1038116,46849,598827,83451,449,1746
01/08/2019,981492,43502,572271,91673,233,1756
01/09/2019,970663,44533,559180,106830,424,2363
01/10/2019,983880,43793,581635,128095,498,2740
01/11/2019,947044,41895,560463,142472,452,2316
01/12/2019,937267,40218,560413,148472,301,2332
01/01/2020,910352,41094,578660,190096,378,3557
01/02/2020,872243,41855,572392,199860,511,3970
01/03/2020,957979,43065,651078,230506,494,6106
01/04/2020,905729,43443,573554,163707,629,2821
01/05/2020,1017974,45168,632005,175108,553,3268
01/06/2020,970229,45271,593156,159775,370,2798
01/07/2020,1017770,45785,639621,174242,498,3282
01/08/2020,956441,45290,595676,149867,463,2623
01/09/2020,967898,45497,590428,158204,323,3087
01/10/2020,971115,43910,600465,190296,519,3606
01/11/2020,920373,43398,567722,192977,288,3020
01/12/2020,893082,39607,587854,235676,210,4211
01/01/2021,841972,41592,572278,246193,375,3945
01/02/2021,803896,39343,528163,189412,303,3418
01/03/2021,976134,45769,612238,175667,601,4784
01/04/2021,943978,40383,601927,161772,700,4531
01/05/2021,1002153,43288,618470,185561,501,4788
01/06/2021,981076,43249,600207,162267,368,3878
01/07/2021,1012372,43060,629139,175059,477,4288
01/08/2021,944956,41010,575677,162209,438,3057
01/09/2021,939595,40533,570051,173319,347,3380
01/10/2021,989821,43141,618220,179218,283,3937
01/11/2021,934364,41172,598260,195360,392,3945
01/12/2021,873319,36259,617725,261012,298,7285
01/01/2022,850071,43096,638955,256545,450,6221
01/02/2022,776866,35458,578867,237404,503,5417
01/03/2022,871490,39047,647367,272296,861,7024
01/04/2022,901892,39655,636889,197245,958,4316
01/05/2022,1015285,41459,700002,179415,635,5487
01/06/2022,984835,41903,680824,166675,726,4464
01/07/2022,1003427,41969,703394,200960,726,5401
01/08/2022,926833,41890,642355,178083,464,3584
01/09/2022,927384,40291,635188,191868,606,4555
01/10/2022,966609,43525,651462,197649,650,4709
01/11/2022,930790,41179,628341,219656,642,5626
01/12/2022,909795,36746,640259,241624,386,6619
01/01/2023,895348,40437,661198,285584,601,8006
01/02/2023,821308,37448,620400,264230,599,8154
01/03/2023,959343,42530,683847,249681,720,7434
01/04/2023,902671,41510,672849,269064,724,8618
01/05/2023,953624,42772,691761,252263,639,7207
01/06/2023,925449,41148,665722,249360,781,7336
01/07/2023,984689,43991,728646,263175,751,10380
01/08/2023,913965,41225,692635,253377,657,7830
01/09/2023,909937,40216,673472,272723,815,7936
01/10/2023,902808,42104,684122,310540,886,7636
01/11/2023,858586,39579,666893,346304,846,9988
01/12/2023,829022,36741,693956,379551,468,14571
01/01/2024,831383,41155,675843,337560,652,9241
01/02/2024,794461,38016,629098,295341,465,8647
01/03/2024,681538,28127,447180,211669,257,3987
01/04/2024,529988,17516,191223,78011,44,830
01/05/2024,741246,23233,285104,71894,57,910
01/06/2024,806861,26456,332523,89373,152,1191
01/07/2024,876826,29294,397874,109245,163,1845
01/08/2024,877759,26962,464218,161712,313,2835
01/09/2024,835975,27680,454491,188514,287,3286
